id1,id2,category,subcategory,connector
1,1,CONTRAST,OPPOSITION,but
1,2,CONTRAST,OPPOSITION,however
1,3,CONTRAST,OPPOSITION,nevertheless
1,4,CONTRAST,OPPOSITION,nonetheless
1,5,CONTRAST,OPPOSITION,albeit
1,6,CONTRAST,OPPOSITION,by contrast
1,7,CONTRAST,OPPOSITION,in contrast to
1,7,CONTRAST,OPPOSITION,in contrast with
1,7,CONTRAST,OPPOSITION,contrasted to
1,7,CONTRAST,OPPOSITION,contrasted with
1,8,CONTRAST,OPPOSITION,on the contrary
1,8,CONTRAST,OPPOSITION,to the contrary
1,9,CONTRAST,OPPOSITION,differently
1,9,CONTRAST,OPPOSITION,differently to
1,9,CONTRAST,OPPOSITION,in a different way
1,10,CONTRAST,OPPOSITION,as opposed to
1,10,CONTRAST,OPPOSITION,as against
1,11,CONTRAST,OPPOSITION,except
1,11,CONTRAST,OPPOSITION,except that
1,11,CONTRAST,OPPOSITION,except for
1,12,CONTRAST,OPPOSITION,still
1,13,CONTRAST,OPPOSITION,yet
2,1,CONTRAST,CONCESSION,although
2,1,CONTRAST,CONCESSION,though
2,2,CONTRAST,CONCESSION,even
2,3,CONTRAST,CONCESSION,even though
2,4,CONTRAST,CONCESSION,despite
2,4,CONTRAST,CONCESSION,despite that
2,4,CONTRAST,CONCESSION,in spite of
2,4,CONTRAST,CONCESSION,in despite of
2,5,CONTRAST,CONCESSION,despite the fact that
2,6,CONTRAST,CONCESSION,notwithstanding
2,7,CONTRAST,CONCESSION,all the same
2,8,CONTRAST,CONCESSION,regardless
2,8,CONTRAST,CONCESSION,regardless of
2,9,CONTRAST,CONCESSION,even so
2,10,CONTRAST,CONCESSION,even if
2,11,CONTRAST,CONCESSION,after all
2,12,CONTRAST,CONCESSION,still
2,13,CONTRAST,CONCESSION,yet
2,14,CONTRAST,CONCESSION,while
2,14,CONTRAST,CONCESSION,whereas
3,1,CONTRAST,COMPARISON,compared to
3,1,CONTRAST,COMPARISON,compared with
3,2,CONTRAST,COMPARISON,in comparison to
3,2,CONTRAST,COMPARISON,in comparison with
3,3,CONTRAST,COMPARISON,at the same time
3,4,CONTRAST,COMPARISON,while
3,4,CONTRAST,COMPARISON,whereas
4,1,CONTRAST,ALTERNATIVE,on one hand
4,1,CONTRAST,ALTERNATIVE,on the one hand
4,2,CONTRAST,ALTERNATIVE,on the other hand
4,3,CONTRAST,ALTERNATIVE,otherwise
4,3,CONTRAST,ALTERNATIVE,else
4,3,CONTRAST,ALTERNATIVE,or else
4,4,CONTRAST,ALTERNATIVE,in another case
4,4,CONTRAST,ALTERNATIVE,in other cases
4,5,CONTRAST,ALTERNATIVE,then again
4,6,CONTRAST,ALTERNATIVE,instead
4,6,CONTRAST,ALTERNATIVE,instead of
4,6,CONTRAST,ALTERNATIVE,rather than
4,7,CONTRAST,ALTERNATIVE,conversely
4,8,CONTRAST,ALTERNATIVE,alternatively
4,8,CONTRAST,ALTERNATIVE,alternatively to
4,8,CONTRAST,ALTERNATIVE,as an alternative
4,9,CONTRAST,ALTERNATIVE,if not
4,9,CONTRAST,ALTERNATIVE,if it is not the case
4,9,CONTRAST,ALTERNATIVE,if this is not the case
4,9,CONTRAST,ALTERNATIVE,if that is not the case
4,10,CONTRAST,ALTERNATIVE,or
5,1,CAUSE,REASON,because
5,2,CAUSE,REASON,because of
5,2,CAUSE,REASON,due to
5,3,CAUSE,REASON,since
5,4,CAUSE,REASON,given that
5,5,CAUSE,REASON,based on
5,5,CAUSE,REASON,according to
5,6,CAUSE,REASON,on the grounds that
5,7,CAUSE,REASON,forasmuch as
5,8,CAUSE,REASON,as
5,9,CAUSE,REASON,with
5,9,CAUSE,REASON,by means of
5,9,CAUSE,REASON,through
5,9,CAUSE,REASON,thanks to
6,1,CAUSE,CONDITION,if
6,2,CAUSE,CONDITION,if ever
6,3,CAUSE,CONDITION,if so
6,4,CAUSE,CONDITION,in case
6,4,CAUSE,CONDITION,in case of
6,4,CAUSE,CONDITION,in the case of
6,4,CAUSE,CONDITION,in case that
6,4,CAUSE,CONDITION,in the case that
6,5,CAUSE,CONDITION,in that case
6,5,CAUSE,CONDITION,in such a case
6,6,CAUSE,CONDITION,on the condition
6,6,CAUSE,CONDITION,on condition that
6,7,CAUSE,CONDITION,conditioned to
6,8,CAUSE,CONDITION,provided that
6,8,CAUSE,CONDITION,providing that
6,8,CAUSE,CONDITION,given that
6,8,CAUSE,CONDITION,giving that
6,9,CAUSE,CONDITION,taking into account
6,9,CAUSE,CONDITION,taking into consideration
6,10,CAUSE,CONDITION,as long as
6,11,CAUSE,CONDITION,let us suppose
6,11,CAUSE,CONDITION,let us suppose that
6,11,CAUSE,CONDITION,supposing
6,11,CAUSE,CONDITION,supposing that
6,12,CAUSE,CONDITION,let us assume
6,12,CAUSE,CONDITION,let us assume that
6,12,CAUSE,CONDITION,assuming
6,12,CAUSE,CONDITION,assuming that
6,13,CAUSE,CONDITION,let us consider
6,13,CAUSE,CONDITION,let us consider that
6,13,CAUSE,CONDITION,considering
6,13,CAUSE,CONDITION,considering that
6,14,CAUSE,CONDITION,insomuch af
6,15,CAUSE,CONDITION,unless
7,1,CONSEQUENCE,RESULT,therefore
7,2,CONSEQUENCE,RESULT,then
7,3,CONSEQUENCE,RESULT,thus
7,3,CONSEQUENCE,RESULT,thereby
7,3,CONSEQUENCE,RESULT,by that means
7,4,CONSEQUENCE,RESULT,hence
