id1,id2,category,subcategory,connector
1,1,CONTRAST,OPPOSITION,pero
1,1,CONTRAST,OPPOSITION,sino
1,1,CONTRAST,OPPOSITION,sino que
1,2,CONTRAST,OPPOSITION,sin embargo
1,3,CONTRAST,OPPOSITION,sin embargo
1,3,CONTRAST,OPPOSITION,por más que
1,4,CONTRAST,OPPOSITION,no obstante
1,5,CONTRAST,OPPOSITION,no obstante
1,6,CONTRAST,OPPOSITION,por el contrario
1,6,CONTRAST,OPPOSITION,contrariamente
1,7,CONTRAST,OPPOSITION,en contra de
1,7,CONTRAST,OPPOSITION,en contra del
1,7,CONTRAST,OPPOSITION,al contrario de
1,7,CONTRAST,OPPOSITION,al contrario del
1,7,CONTRAST,OPPOSITION,al contrario que
1,7,CONTRAST,OPPOSITION,en contraste con
1,7,CONTRAST,OPPOSITION,constrastada con
1,7,CONTRAST,OPPOSITION,constrastado con
1,8,CONTRAST,OPPOSITION,de lo contrario
1,8,CONTRAST,OPPOSITION,al contrario
1,8,CONTRAST,OPPOSITION,en caso contrario
1,9,CONTRAST,OPPOSITION,diferentemente
1,9,CONTRAST,OPPOSITION,diferentemente a
1,9,CONTRAST,OPPOSITION,a diferencia de
1,9,CONTRAST,OPPOSITION,a diferencia del
1,9,CONTRAST,OPPOSITION,de forma diferente
1,9,CONTRAST,OPPOSITION,de modo diferente
1,9,CONTRAST,OPPOSITION,de forma diferente a
1,9,CONTRAST,OPPOSITION,de modo diferente a
1,9,CONTRAST,OPPOSITION,de forma diferente al
1,9,CONTRAST,OPPOSITION,de modo diferente al
1,10,CONTRAST,OPPOSITION,en oposición a
1,10,CONTRAST,OPPOSITION,de forma opuesta a
1,10,CONTRAST,OPPOSITION,de modo opuesto a
1,10,CONTRAST,OPPOSITION,en oposición al
1,10,CONTRAST,OPPOSITION,de forma opuesta al
1,10,CONTRAST,OPPOSITION,de modo opuesto al
1,10,CONTRAST,OPPOSITION,al revés de
1,10,CONTRAST,OPPOSITION,al revés del
1,10,CONTRAST,OPPOSITION,en contra de
1,10,CONTRAST,OPPOSITION,en contra del
1,11,CONTRAST,OPPOSITION,excepto
1,11,CONTRAST,OPPOSITION,excepto que
1,12,CONTRAST,OPPOSITION,sin embargo
1,13,CONTRAST,OPPOSITION,pero
1,13,CONTRAST,OPPOSITION,sin embargo
2,1,CONTRAST,CONCESSION,aunque
